pothole_count,pothole_area_ratio,crack_area_ratio,damage_area_ratio,damage_severity,pothole_detected,crack_detected,avg_confidence,risk_level
3,0.0055,0.0084,0.0139,0.175,1,1,86.8,Medium Risk
0,0.0,0.0035,0.003,0.072,0,0,98.2,Low Risk
6,0.0268,0.1227,0.1495,0.517,1,1,94.6,High Risk
6,0.051,0.1178,0.1688,0.558,1,1,96.7,High Risk
0,0.0,0.0214,0.0214,0.254,0,1,86.2,Medium Risk
11,0.3305,0.2375,0.568,0.753,1,1,85.5,Critical Risk
22,0.209,0.2506,0.4596,0.938,1,1,87.0,Critical Risk
7,0.0489,0.106,0.1549,0.578,1,1,90.4,High Risk
14,0.1036,0.2307,0.3343,0.787,1,1,87.0,Critical Risk
1,0.0122,0.0126,0.0248,0.428,1,1,93.6,Medium Risk
19,0.28,0.1784,0.4584,0.775,1,1,93.3,Critical Risk
5,0.0492,0.0512,0.1004,0.601,1,1,95.8,High Risk
0,0.0,0.0026,0.0028,0.011,0,0,96.8,Low Risk
0,0.0,0.0025,0.0035,0.055,0,0,98.0,Low Risk
0,0.0,0.0031,0.0023,0.063,0,0,97.1,Low Risk
0,0.0,0.0001,0.0032,0.038,0,0,97.4,Low Risk
0,0.0,0.0011,0.003,0.004,0,0,95.2,Low Risk
0,0.0,0.0028,0.0019,0.112,0,0,95.7,Low Risk
0,0.0,0.001,0.0041,0.096,0,0,98.3,Low Risk
8,0.0627,0.1001,0.1628,0.526,1,1,88.1,High Risk
3,0.0187,0.015,0.0337,0.407,1,1,95.1,Medium Risk
29,0.1581,0.3352,0.4933,0.799,1,1,94.0,Critical Risk
20,0.2259,0.3646,0.5905,0.999,1,1,92.6,Critical Risk
15,0.182,0.2091,0.3911,0.935,1,1,90.6,Critical Risk
0,0.0,0.0024,0.0003,0.06,0,0,97.9,Low Risk
25,0.2928,0.2495,0.5423,0.965,1,1,88.2,Critical Risk
2,0.0166,0.0373,0.0539,0.343,1,1,95.4,Medium Risk
9,0.0578,0.0876,0.1454,0.614,1,1,88.6,High Risk
0,0.0,0.002,0.0027,0.013,0,0,97.1,Low Risk
18,0.1402,0.2195,0.3597,0.914,1,1,91.3,Critical Risk
2,0.0083,0.0285,0.0368,0.365,1,1,91.9,Medium Risk
13,0.2478,0.2666,0.5144,0.823,1,1,91.1,Critical Risk
0,0.0,0.0342,0.0342,0.312,0,1,86.8,Medium Risk
0,0.0,0.029,0.029,0.353,0,1,93.6,Medium Risk
6,0.0812,0.0501,0.1313,0.674,1,1,90.6,High Risk
0,0.0,0.0038,0.0048,0.11,0,0,96.8,Low Risk
16,0.1161,0.1673,0.2834,0.831,1,1,94.9,Critical Risk
4,0.0744,0.1076,0.18,0.601,1,1,88.9,High Risk
20,0.2421,0.2194,0.4615,0.754,1,1,85.4,Critical Risk
9,0.0486,0.0923,0.1409,0.632,1,1,88.7,High Risk
5,0.0676,0.0584,0.126,0.663,1,1,93.3,High Risk
18,0.0989,0.1647,0.2636,0.827,1,1,86.0,Critical Risk
4,0.0421,0.0796,0.1217,0.638,1,1,91.0,High Risk
2,0.0222,0.0255,0.0477,0.431,1,1,87.8,Medium Risk
4,0.0379,0.0667,0.1046,0.524,1,1,88.6,High Risk
3,0.0192,0.03,0.0492,0.342,1,1,90.6,Medium Risk
0,0.0,0.0142,0.0142,0.189,0,1,92.0,Medium Risk
3,0.0174,0.0271,0.0445,0.326,1,1,93.5,Medium Risk
0,0.0,0.0287,0.0287,0.308,0,1,92.8,Medium Risk
0,0.0,0.0003,0.0049,0.045,0,0,96.8,Low Risk
25,0.1376,0.1891,0.3267,0.82,1,1,92.2,Critical Risk
0,0.0,0.0354,0.0354,0.19,0,1,89.0,Medium Risk
0,0.0,0.0192,0.0192,0.365,0,1,94.1,Medium Risk
3,0.0234,0.0439,0.065,0.424,1,1,90.5,Medium Risk
3,0.0223,0.0088,0.0311,0.405,1,1,91.0,Medium Risk
27,0.1904,0.3517,0.5421,0.784,1,1,85.4,Critical Risk
6,0.0639,0.0664,0.1303,0.464,1,1,96.7,High Risk
0,0.0,0.0398,0.0398,0.242,0,1,94.7,Medium Risk
9,0.0719,0.1078,0.1797,0.616,1,1,96.9,High Risk
3,0.0235,0.0167,0.0402,0.272,1,1,87.4,Medium Risk
5,0.0257,0.0788,0.1045,0.537,1,1,92.4,High Risk
21,0.1158,0.2916,0.4074,0.984,1,1,93.6,Critical Risk
0,0.0,0.0021,0.0039,0.062,0,0,99.1,Low Risk
0,0.0,0.0118,0.0118,0.296,0,1,88.4,Medium Risk
0,0.0,0.0353,0.0353,0.402,0,1,88.1,Medium Risk
18,0.3045,0.1425,0.447,0.864,1,1,93.2,Critical Risk
4,0.0596,0.0504,0.11,0.485,1,1,97.0,High Risk
29,0.0914,0.1526,0.244,0.773,1,1,87.5,Critical Risk
30,0.3026,0.2786,0.5812,0.911,1,1,96.7,Critical Risk
9,0.0649,0.0576,0.1225,0.491,1,1,94.9,High Risk
0,0.0,0.0037,0.0028,0.084,0,0,99.4,Low Risk
0,0.0,0.0008,0.0045,0.025,0,0,95.9,Low Risk
3,0.0149,0.0136,0.0285,0.366,1,1,90.9,Medium Risk
3,0.0222,0.0156,0.0378,0.191,1,1,88.6,Medium Risk
0,0.0,0.0006,0.0009,0.06,0,0,97.0,Low Risk
4,0.0808,0.0848,0.1656,0.52,1,1,88.4,High Risk
0,0.0,0.0001,0.0048,0.1,0,0,98.3,Low Risk
0,0.0,0.0032,0.0009,0.107,0,0,97.6,Low Risk
6,0.0496,0.0699,0.1195,0.636,1,1,93.5,High Risk
8,0.065,0.108,0.173,0.578,1,1,93.7,High Risk
8,0.0536,0.1247,0.1783,0.475,1,1,88.0,High Risk
29,0.0922,0.2666,0.3588,0.797,1,1,97.9,Critical Risk
5,0.0259,0.0753,0.1012,0.548,1,1,88.2,High Risk
0,0.0,0.0014,0.0049,0.073,0,0,96.1,Low Risk
16,0.3163,0.26,0.5763,0.93,1,1,93.0,Critical Risk
1,0.0216,0.0443,0.065,0.334,1,1,91.3,Medium Risk
25,0.2681,0.1961,0.4642,0.79,1,1,87.4,Critical Risk
0,0.0,0.0025,0.005,0.017,0,0,97.5,Low Risk
0,0.0,0.0014,0.0029,0.047,0,0,97.1,Low Risk
17,0.2294,0.158,0.3874,0.972,1,1,86.0,Critical Risk
24,0.2,0.166,0.366,0.77,1,1,92.1,Critical Risk
4,0.0414,0.1096,0.151,0.511,1,1,91.1,High Risk
0,0.0,0.0277,0.0277,0.379,0,1,92.7,Medium Risk
4,0.0728,0.065,0.1378,0.622,1,1,93.1,High Risk
0,0.0,0.0037,0.0007,0.114,0,0,97.1,Low Risk
23,0.1207,0.1464,0.2671,0.956,1,1,96.9,Critical Risk
6,0.0499,0.0461,0.096,0.537,1,1,92.1,High Risk
0,0.0,0.0258,0.0258,0.189,0,1,88.3,Medium Risk
7,0.0334,0.0987,0.1321,0.621,1,1,94.7,High Risk
31,0.1007,0.2972,0.3979,0.94,1,1,97.9,Critical Risk
0,0.0,0.0029,0.0045,0.106,0,0,98.7,Low Risk
18,0.3492,0.1714,0.5206,0.894,1,1,90.3,Critical Risk
0,0.0,0.0024,0.0035,0.002,0,0,99.7,Low Risk
9,0.0398,0.1121,0.1519,0.553,1,1,95.4,High Risk
2,0.0145,0.0281,0.0426,0.426,1,1,94.0,Medium Risk
29,0.3357,0.2028,0.5385,0.74,1,1,88.5,Critical Risk
5,0.0755,0.0914,0.1669,0.606,1,1,88.9,High Risk
1,0.0204,0.029,0.0494,0.367,1,1,94.3,Medium Risk
14,0.2346,0.3056,0.5402,0.917,1,1,97.1,Critical Risk
2,0.0189,0.0196,0.0385,0.292,1,1,93.8,Medium Risk
9,0.0293,0.0996,0.1289,0.523,1,1,94.4,High Risk
0,0.0,0.0005,0.0017,0.113,0,0,96.6,Low Risk
0,0.0,0.0009,0.0021,0.098,0,0,99.1,Low Risk
0,0.0,0.0017,0.0001,0.032,0,0,97.6,Low Risk
13,0.1799,0.3971,0.577,0.918,1,1,97.3,Critical Risk
0,0.0,0.0014,0.0041,0.013,0,0,99.1,Low Risk
0,0.0,0.0277,0.0277,0.422,0,1,86.4,Medium Risk
0,0.0,0.0033,0.0011,0.022,0,0,95.9,Low Risk
0,0.0,0.0024,0.002,0.007,0,0,96.6,Low Risk
9,0.0809,0.0768,0.1577,0.483,1,1,93.6,High Risk
22,0.3353,0.2908,0.6261,0.98,1,1,95.2,Critical Risk
3,0.0145,0.0309,0.0454,0.357,1,1,91.3,Medium Risk
0,0.0,0.0003,0.0041,0.085,0,0,95.4,Low Risk
0,0.0,0.0211,0.0211,0.379,0,1,91.3,Medium Risk
0,0.0,0.0032,0.0014,0.053,0,0,95.4,Low Risk
0,0.0,0.0034,0.0035,0.057,0,0,95.5,Low Risk
0,0.0,0.0087,0.0087,0.281,0,1,94.0,Medium Risk
0,0.0,0.0017,0.0012,0.043,0,0,98.6,Low Risk
19,0.2898,0.3202,0.61,0.891,1,1,85.2,Critical Risk
17,0.1371,0.3864,0.5235,0.786,1,1,92.4,Critical Risk
17,0.1708,0.3051,0.4759,0.91,1,1,88.3,Critical Risk
0,0.0,0.0233,0.0233,0.392,0,1,93.0,Medium Risk
1,0.0068,0.0345,0.0413,0.415,1,1,87.7,Medium Risk
4,0.0632,0.0491,0.1123,0.527,1,1,88.5,High Risk
29,0.2658,0.2083,0.4741,0.775,1,1,93.2,Critical Risk
28,0.3056,0.3931,0.65,0.863,1,1,85.9,Critical Risk
0,0.0,0.0024,0.0007,0.035,0,0,96.8,Low Risk
6,0.0749,0.1124,0.18,0.557,1,1,93.7,High Risk
0,0.0,0.0371,0.0371,0.191,0,1,89.4,Medium Risk
0,0.0,0.003,0.004,0.119,0,0,97.0,Low Risk
0,0.0,0.0298,0.0298,0.435,0,1,94.4,Medium Risk
0,0.0,0.0306,0.0306,0.361,0,1,88.6,Medium Risk
26,0.0876,0.3602,0.4478,0.93,1,1,97.3,Critical Risk
10,0.1781,0.1463,0.3244,0.866,1,1,97.0,Critical Risk
0,0.0,0.0164,0.0164,0.256,0,1,89.6,Medium Risk
6,0.0285,0.0805,0.109,0.532,1,1,93.6,High Risk
0,0.0,0.0168,0.0168,0.303,0,1,93.8,Medium Risk
2,0.023,0.0166,0.0396,0.386,1,1,86.6,Medium Risk
0,0.0,0.0002,0.0045,0.063,0,0,99.8,Low Risk
21,0.2419,0.1665,0.4084,0.746,1,1,89.7,Critical Risk
0,0.0,0.0281,0.0281,0.404,0,1,93.0,Medium Risk
4,0.0638,0.116,0.1798,0.616,1,1,92.5,High Risk
0,0.0,0.0012,0.0005,0.082,0,0,97.1,Low Risk
0,0.0,0.0007,0.0045,0.07,0,0,96.9,Low Risk
7,0.0251,0.069,0.0941,0.628,1,1,96.8,High Risk
0,0.0,0.0038,0.0037,0.067,0,0,97.9,Low Risk
19,0.3029,0.136,0.4389,0.849,1,1,91.0,Critical Risk
4,0.0429,0.0534,0.0963,0.663,1,1,93.8,High Risk
27,0.0992,0.2254,0.3246,0.8,1,1,88.4,Critical Risk
0,0.0,0.0021,0.0002,0.02,0,0,98.5,Low Risk
3,0.0243,0.0357,0.06,0.196,1,1,93.2,Medium Risk
0,0.0,0.0006,0.0021,0.01,0,0,99.8,Low Risk
8,0.057,0.0542,0.1112,0.617,1,1,89.1,High Risk
0,0.0,0.0189,0.0189,0.382,0,1,87.8,Medium Risk
2,0.0057,0.0349,0.0406,0.299,1,1,90.2,Medium Risk
0,0.0,0.001,0.0019,0.071,0,0,96.3,Low Risk
20,0.304,0.2846,0.5886,0.832,1,1,95.4,Critical Risk
14,0.2933,0.293,0.5863,0.829,1,1,96.4,Critical Risk
29,0.1512,0.1937,0.3449,0.74,1,1,96.3,Critical Risk
9,0.0763,0.0867,0.163,0.477,1,1,95.5,High Risk
0,0.0,0.0399,0.0399,0.289,0,1,93.1,Medium Risk
2,0.0116,0.0415,0.0531,0.376,1,1,91.3,Medium Risk
2,0.0074,0.0175,0.0249,0.425,1,1,91.3,Medium Risk
31,0.1209,0.1753,0.2962,0.787,1,1,88.4,Critical Risk
1,0.0196,0.0406,0.0602,0.238,1,1,87.8,Medium Risk
0,0.0,0.0024,0.0002,0.073,0,0,95.8,Low Risk
0,0.0,0.0007,0.001,0.044,0,0,97.3,Low Risk
6,0.0783,0.0932,0.1715,0.675,1,1,96.9,High Risk
2,0.0189,0.0372,0.0561,0.305,1,1,90.2,Medium Risk
1,0.0093,0.0383,0.0476,0.406,1,1,91.0,Medium Risk
0,0.0,0.0442,0.0442,0.369,0,1,91.3,Medium Risk
19,0.153,0.2195,0.3725,0.915,1,1,85.8,Critical Risk
27,0.1866,0.1806,0.3672,0.855,1,1,85.6,Critical Risk
0,0.0,0.0247,0.0247,0.421,0,1,89.0,Medium Risk
7,0.0432,0.0682,0.1114,0.606,1,1,89.1,High Risk
31,0.2568,0.1372,0.394,0.952,1,1,97.2,Critical Risk
6,0.0459,0.0539,0.0998,0.67,1,1,96.5,High Risk
9,0.037,0.1162,0.1532,0.535,1,1,91.3,High Risk
9,0.0518,0.1089,0.1607,0.674,1,1,95.7,High Risk
7,0.0695,0.0703,0.1398,0.486,1,1,91.2,High Risk
9,0.0563,0.1086,0.1649,0.69,1,1,91.1,High Risk
1,0.0137,0.0258,0.0395,0.282,1,1,94.9,Medium Risk
0,0.0,0.0361,0.0361,0.286,0,1,93.4,Medium Risk
0,0.0,0.0025,0.002,0.066,0,0,97.1,Low Risk
3,0.0123,0.0283,0.0406,0.369,1,1,92.8,Medium Risk
7,0.0848,0.0897,0.1745,0.544,1,1,90.0,High Risk
0,0.0,0.002,0.003,0.008,0,0,98.6,Low Risk
0,0.0,0.0016,0.0009,0.019,0,0,96.2,Low Risk
0,0.0,0.0007,0.0017,0.108,0,0,97.3,Low Risk
1,0.0074,0.0321,0.0395,0.251,1,1,91.6,Medium Risk
6,0.0268,0.0835,0.1103,0.632,1,1,89.1,High Risk
17,0.1399,0.2966,0.4365,0.797,1,1,85.3,Critical Risk
8,0.0634,0.0991,0.1625,0.494,1,1,90.1,High Risk
1,0.0166,0.0428,0.0594,0.392,1,1,92.3,Medium Risk
2,0.0195,0.0378,0.0573,0.396,1,1,88.4,Medium Risk
4,0.0457,0.0781,0.1238,0.65,1,1,95.9,High Risk
0,0.0,0.004,0.0028,0.092,0,0,99.5,Low Risk
7,0.04,0.0862,0.1262,0.599,1,1,91.2,High Risk
2,0.0165,0.0308,0.0473,0.332,1,1,88.8,Medium Risk
7,0.0668,0.1052,0.172,0.581,1,1,95.9,High Risk
4,0.0342,0.1242,0.1584,0.708,1,1,92.5,High Risk
0,0.0,0.0015,0.0048,0.088,0,0,97.9,Low Risk
3,0.0074,0.0088,0.0162,0.343,1,1,89.2,Medium Risk
4,0.0441,0.1173,0.1614,0.48,1,1,95.5,High Risk
8,0.0516,0.0951,0.1467,0.587,1,1,91.6,High Risk
21,0.1938,0.1657,0.3595,0.798,1,1,89.1,Critical Risk
4,0.0266,0.0764,0.103,0.597,1,1,92.6,High Risk
0,0.0,0.0446,0.0446,0.296,0,1,87.2,Medium Risk
3,0.0119,0.0226,0.0345,0.289,1,1,93.5,Medium Risk
0,0.0,0.0031,0.0009,0.039,0,0,97.0,Low Risk
0,0.0,0.0028,0.0027,0.037,0,0,98.9,Low Risk
0,0.0,0.0125,0.0125,0.245,0,1,87.0,Medium Risk
0,0.0,0.0408,0.0408,0.341,0,1,88.7,Medium Risk
7,0.0285,0.0995,0.128,0.581,1,1,88.3,High Risk
25,0.3485,0.2895,0.638,0.82,1,1,95.9,Critical Risk
0,0.0,0.0016,0.0032,0.055,0,0,97.6,Low Risk
28,0.1633,0.2684,0.4317,0.916,1,1,92.7,Critical Risk
0,0.0,0.0023,0.0042,0.017,0,0,98.8,Low Risk
0,0.0,0.0256,0.0256,0.172,0,1,94.1,Medium Risk
31,0.1197,0.2897,0.4094,0.961,1,1,85.6,Critical Risk
0,0.0,0.0032,0.0032,0.084,0,0,98.8,Low Risk
0,0.0,0.0088,0.0088,0.251,0,1,90.6,Medium Risk
0,0.0,0.0034,0.0023,0.05,0,0,96.3,Low Risk
1,0.0231,0.0438,0.065,0.212,1,1,90.4,Medium Risk
0,0.0,0.028,0.028,0.364,0,1,87.0,Medium Risk
3,0.0074,0.0225,0.0299,0.431,1,1,88.5,Medium Risk
0,0.0,0.0006,0.0046,0.059,0,0,96.2,Low Risk
0,0.0,0.01,0.01,0.25,0,1,93.2,Medium Risk
9,0.0787,0.0917,0.1704,0.581,1,1,91.1,High Risk
0,0.0,0.0038,0.003,0.027,0,0,98.2,Low Risk
2,0.0052,0.0163,0.0215,0.197,1,1,89.8,Medium Risk
0,0.0,0.0011,0.0018,0.078,0,0,97.7,Low Risk
0,0.0,0.0037,0.004,0.076,0,0,99.2,Low Risk
30,0.3435,0.3488,0.65,0.962,1,1,97.2,Critical Risk
0,0.0,0.0005,0.002,0.096,0,0,95.7,Low Risk
2,0.0229,0.0387,0.0616,0.249,1,1,95.1,Medium Risk
22,0.3067,0.1341,0.4408,0.861,1,1,89.9,Critical Risk
0,0.0,0.0004,0.002,0.116,0,0,99.2,Low Risk
8,0.0446,0.0734,0.118,0.591,1,1,96.5,High Risk
0,0.0,0.0028,0.0011,0.016,0,0,95.1,Low Risk
0,0.0,0.002,0.0012,0.014,0,0,97.9,Low Risk
0,0.0,0.0018,0.0039,0.024,0,0,97.5,Low Risk
7,0.0471,0.0796,0.1267,0.468,1,1,90.3,High Risk
2,0.0075,0.0406,0.0481,0.28,1,1,87.5,Medium Risk
0,0.0,0.0033,0.0018,0.015,0,0,97.5,Low Risk
28,0.1243,0.1458,0.2701,0.952,1,1,96.6,Critical Risk
15,0.2648,0.2089,0.4737,0.961,1,1,97.3,Critical Risk
0,0.0,0.0007,0.0046,0.05,0,0,96.8,Low Risk
0,0.0,0.0018,0.0049,0.059,0,0,96.6,Low Risk
12,0.1335,0.3512,0.4847,0.814,1,1,97.1,Critical Risk
0,0.0,0.0001,0.0046,0.014,0,0,97.8,Low Risk
0,0.0,0.0009,0.0034,0.002,0,0,95.5,Low Risk
20,0.254,0.3496,0.6036,0.751,1,1,91.5,Critical Risk
8,0.0753,0.0678,0.1431,0.572,1,1,90.4,High Risk
0,0.0,0.0002,0.0043,0.098,0,0,99.8,Low Risk
15,0.2413,0.1389,0.3802,0.956,1,1,87.3,Critical Risk
28,0.2312,0.341,0.5722,0.848,1,1,87.2,Critical Risk
0,0.0,0.0019,0.0015,0.09,0,0,97.4,Low Risk
0,0.0,0.0004,0.0042,0.038,0,0,95.9,Low Risk
6,0.0633,0.1117,0.175,0.59,1,1,92.8,High Risk
0,0.0,0.0025,0.0005,0.01,0,0,98.4,Low Risk
5,0.0313,0.0849,0.1162,0.56,1,1,95.8,High Risk
0,0.0,0.0011,0.0012,0.117,0,0,96.9,Low Risk
1,0.0061,0.0324,0.0385,0.424,1,1,93.7,Medium Risk
0,0.0,0.0301,0.0301,0.366,0,1,95.5,Medium Risk
20,0.2384,0.2795,0.5179,0.966,1,1,89.9,Critical Risk
19,0.3127,0.26,0.5727,0.915,1,1,88.1,Critical Risk
0,0.0,0.0021,0.0021,0.003,0,0,95.5,Low Risk
