road_name,state,district,city,pothole_count,average_pothole_depth,total_crack_length,pavement_age,road_length,traffic_density,rainfall,risk_level,provenance
Mumbai Survey Corridor R-0607,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,0.4,1.8,15.5,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0652,Tamil Nadu,Madurai,Madurai,19,11.0,32.0,6.4,5.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0513,Kerala,Ernakulam,Kochi,3,14.1,9.9,6.3,25.4,High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0788,Maharashtra,Pune,Pune,2,2.0,62.5,15.9,12.1,Medium,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-1067,Delhi,South Delhi,Delhi NCR,8,3.5,23.7,4.7,6.9,Medium,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0594,Karnataka,Mysuru,Mysuru,36,13.9,106.0,10.2,33.1,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0063,Tamil Nadu,Salem,Salem,5,14.5,15.4,6.3,23.1,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-1145,Karnataka,Bengaluru Urban,Bengaluru,4,2.7,34.5,4.7,31.6,High,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0485,Karnataka,Bengaluru Urban,Bengaluru,4,4.7,32.0,3.0,30.2,Low,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0510,Karnataka,Mysuru,Mysuru,41,15.4,138.5,14.6,9.8,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0292,Tamil Nadu,Madurai,Madurai,18,12.0,35.9,11.2,21.3,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1053,Kerala,Ernakulam,Kochi,5,8.5,13.0,9.4,22.5,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0351,Tamil Nadu,Salem,Salem,3,12.7,16.7,5.9,24.7,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0016,Tamil Nadu,Madurai,Madurai,34,7.8,39.5,11.8,22.7,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0021,Kerala,Ernakulam,Kochi,4,9.3,32.9,8.7,22.5,Medium,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0953,Karnataka,Bengaluru Urban,Bengaluru,6,3.5,24.3,3.8,13.1,Very High,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0469,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,2.7,0.9,10.6,Very High,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0382,Telangana,Hyderabad,Hyderabad,31,9.1,43.8,6.7,16.0,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0872,Maharashtra,Pune,Pune,2,0.0,61.2,7.7,8.9,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0518,Tamil Nadu,Chennai,Chennai,3,0.9,68.8,15.1,34.8,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1161,Kerala,Ernakulam,Kochi,4,12.1,6.1,7.0,32.3,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0859,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,3.8,2.4,7.7,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
NH-44 Hyderabad-Bangalore Section (Anantapur),Andhra Pradesh,Anantapur,Anantapur,14,7.5,55.0,8.5,15.0,Very High,Moderate,Critical Risk,IRC:82-2015 Specification Benchmark
Kochi Survey Corridor R-1185,Kerala,Ernakulam,Kochi,3,8.9,13.1,6.4,29.4,Very High,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0635,Delhi,South Delhi,Delhi NCR,5,4.1,23.8,6.4,31.9,Very High,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0826,Telangana,Hyderabad,Hyderabad,22,10.3,39.0,11.0,28.5,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0766,Telangana,Hyderabad,Hyderabad,15,8.8,79.7,6.7,27.5,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-1108,Tamil Nadu,Madurai,Madurai,16,9.7,53.4,13.8,27.3,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0003,Tamil Nadu,Salem,Salem,2,15.8,30.0,4.5,7.2,Low,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0238,Telangana,Hyderabad,Hyderabad,22,6.1,73.8,10.8,22.0,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune - Solapur Arterial Highway (Hadapsar - Loni Kalbhor),Maharashtra,Pune,Pune,16,7.8,58.0,8.5,14.5,High,Heavy,Critical Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Pune Survey Corridor R-0920,Maharashtra,Pune,Pune,1,2.2,113.4,13.4,21.1,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0534,Karnataka,Mysuru,Mysuru,44,11.4,70.0,12.7,35.0,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0568,Tamil Nadu,Madurai,Madurai,20,8.9,79.8,7.8,19.6,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0646,Telangana,Hyderabad,Hyderabad,21,7.3,41.3,11.4,3.1,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0802,Telangana,Hyderabad,Hyderabad,17,12.4,74.2,10.2,16.3,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0248,Maharashtra,Pune,Pune,3,0.1,68.6,11.7,21.3,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0481,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,3.5,2.0,24.9,Medium,Heavy,Low Risk,IRC:82-2015 Systematic Pavement Survey
Heavy Freight Corridor (Ennore Port Access Road),Tamil Nadu,Tiruvallur,Chennai,35,16.8,125.0,15.0,11.0,Very High,Heavy,Critical Risk,IRC:82-2015 Specification Benchmark
Salem Survey Corridor R-1071,Tamil Nadu,Salem,Salem,2,9.9,29.4,7.1,8.2,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0303,Tamil Nadu,Salem,Salem,2,12.4,14.2,5.8,16.2,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0785,Karnataka,Bengaluru Urban,Bengaluru,6,5.6,26.5,7.3,13.6,Low,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0821,Karnataka,Bengaluru Urban,Bengaluru,9,3.2,25.3,3.7,16.0,Very High,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0355,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,0.5,1.1,27.7,Medium,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
GST Road (Tambaram - Guduvanchery),Tamil Nadu,Chengalpattu,Chennai,9,5.0,36.0,6.0,11.0,Very High,Moderate,High Risk,IRC:82-2015 Specification Benchmark
Mysuru Survey Corridor R-0462,Karnataka,Mysuru,Mysuru,42,16.1,139.2,11.6,34.8,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0857,Karnataka,Bengaluru Urban,Bengaluru,4,3.1,24.0,3.2,5.1,Low,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0320,Maharashtra,Pune,Pune,1,0.6,87.6,8.6,29.4,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0138,Karnataka,Mysuru,Mysuru,24,15.6,115.5,11.3,30.9,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0173,Karnataka,Bengaluru Urban,Bengaluru,8,5.4,17.4,3.1,5.7,Low,Heavy,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0463,Maharashtra,Mumbai Suburban,Mumbai,0,0.0,0.4,1.2,22.5,High,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0555,Tamil Nadu,Salem,Salem,3,15.5,32.4,3.1,16.3,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0095,Delhi,South Delhi,Delhi NCR,9,3.0,27.4,4.9,34.0,High,Light,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0888,Andhra Pradesh,Visakhapatnam,Visakhapatnam,24,16.4,104.9,15.4,32.5,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0648,Andhra Pradesh,Visakhapatnam,Visakhapatnam,39,13.4,84.2,14.5,28.3,Low,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1167,Tamil Nadu,Salem,Salem,4,13.0,21.7,8.2,10.5,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0613,Tamil Nadu,Coimbatore,Coimbatore,1,1.5,5.0,1.8,5.5,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-0907,Maharashtra,Mumbai Suburban,Mumbai,1,1.9,3.8,1.5,31.5,Very High,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0977,Karnataka,Bengaluru Urban,Bengaluru,4,3.5,26.0,5.7,14.8,Low,Torrential,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0360,Andhra Pradesh,Visakhapatnam,Visakhapatnam,37,12.3,86.8,10.2,1.8,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0171,Tamil Nadu,Salem,Salem,3,15.9,20.8,4.2,10.3,High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0660,Andhra Pradesh,Visakhapatnam,Visakhapatnam,42,16.1,80.2,17.5,31.4,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0272,Maharashtra,Pune,Pune,2,1.7,67.3,11.0,21.3,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0426,Karnataka,Mysuru,Mysuru,40,15.5,126.4,10.3,30.6,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0226,Telangana,Hyderabad,Hyderabad,14,5.3,59.1,8.9,30.4,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-1054,Telangana,Hyderabad,Hyderabad,26,7.8,67.5,11.4,11.2,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-1036,Tamil Nadu,Madurai,Madurai,12,5.3,77.2,7.7,27.8,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0108,Andhra Pradesh,Visakhapatnam,Visakhapatnam,33,10.4,71.1,15.1,7.2,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0743,Delhi,South Delhi,Delhi NCR,5,2.9,37.5,6.4,29.8,Very High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0898,Telangana,Hyderabad,Hyderabad,20,13.0,26.9,6.0,18.1,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0421,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,0.4,1.0,28.8,Low,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Outer Ring Road IT Expressway Link,Telangana,Hyderabad,Hyderabad,1,1.0,4.0,1.5,18.0,High,Moderate,Low Risk,IRC:82-2015 Specification Benchmark
Pune Survey Corridor R-0728,Maharashtra,Pune,Pune,3,2.5,114.1,6.0,16.3,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0661,Tamil Nadu,Coimbatore,Coimbatore,1,1.1,3.0,3.0,1.9,High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
PVNR Elevated Expressway (Mehdipatnam - Shamshabad Link),Telangana,Hyderabad,Hyderabad,2,1.5,7.0,2.5,11.6,Very High,Moderate,Low Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Ring Road Inner Arterial (AIIMS - Moolchand - Ashram Sector),Delhi,South Delhi,Delhi NCR,10,5.5,44.0,6.2,14.2,Very High,Moderate,High Risk,Verified Physical Survey (MoRTH / NHAI Registry)
Madurai Survey Corridor R-0928,Tamil Nadu,Madurai,Madurai,23,7.2,31.7,10.0,27.1,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0699,Tamil Nadu,Salem,Salem,5,11.9,30.2,4.5,14.0,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-0368,Maharashtra,Pune,Pune,3,1.9,82.8,8.8,11.7,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0160,Tamil Nadu,Madurai,Madurai,30,10.8,44.5,6.2,6.3,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0026,Tamil Nadu,Chennai,Chennai,0,0.0,40.5,7.8,9.4,High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-1129,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,1.9,0.5,34.0,Very High,Moderate,Low Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0243,Tamil Nadu,Salem,Salem,5,14.0,31.2,6.0,2.5,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1176,Andhra Pradesh,Visakhapatnam,Visakhapatnam,23,14.1,104.2,10.9,5.3,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0937,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,0.1,2.9,13.8,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0010,Telangana,Hyderabad,Hyderabad,29,12.0,76.4,13.2,21.3,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0813,Kerala,Ernakulam,Kochi,5,11.4,22.4,8.8,28.3,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0640,Tamil Nadu,Madurai,Madurai,20,14.0,21.8,13.2,22.2,High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0748,Tamil Nadu,Madurai,Madurai,13,8.7,27.6,6.2,22.2,Low,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0924,Andhra Pradesh,Visakhapatnam,Visakhapatnam,24,17.0,91.0,12.3,25.6,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0114,Karnataka,Mysuru,Mysuru,32,12.3,98.8,14.9,13.5,Very High,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0252,Andhra Pradesh,Visakhapatnam,Visakhapatnam,39,16.8,95.6,14.1,13.2,Medium,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-0180,Andhra Pradesh,Visakhapatnam,Visakhapatnam,26,15.9,68.5,10.6,25.8,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0870,Karnataka,Mysuru,Mysuru,18,17.0,91.9,16.9,10.1,Medium,Moderate,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Visakhapatnam Survey Corridor R-1188,Andhra Pradesh,Visakhapatnam,Visakhapatnam,24,9.7,98.0,10.1,3.9,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Chennai Survey Corridor R-0998,Tamil Nadu,Chennai,Chennai,3,0.3,98.5,5.1,22.9,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-1060,Tamil Nadu,Madurai,Madurai,20,8.1,78.9,11.0,15.1,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0459,Tamil Nadu,Salem,Salem,5,8.5,31.5,6.1,18.4,Medium,Light,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0942,Karnataka,Mysuru,Mysuru,28,15.3,135.5,18.0,16.3,Low,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0053,Karnataka,Bengaluru Urban,Bengaluru,3,3.0,37.5,7.2,30.3,Low,Torrential,High Risk,IRC:82-2015 Systematic Pavement Survey
Mumbai Survey Corridor R-1015,Maharashtra,Mumbai Suburban,Mumbai,1,0.3,3.9,1.5,27.8,Low,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0550,Telangana,Hyderabad,Hyderabad,27,6.5,31.2,6.2,14.3,Low,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-1191,Tamil Nadu,Salem,Salem,4,15.8,9.7,4.6,8.2,Medium,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0645,Kerala,Ernakulam,Kochi,5,8.1,9.7,4.5,22.4,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Delhi NCR Survey Corridor R-0047,Delhi,South Delhi,Delhi NCR,5,3.1,26.5,7.7,24.7,Very High,Moderate,Medium Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0913,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,4.3,2.6,12.6,High,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0940,Tamil Nadu,Madurai,Madurai,24,7.4,39.0,12.8,17.2,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1160,Maharashtra,Pune,Pune,3,2.6,70.2,12.7,10.1,Very High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-1101,Kerala,Ernakulam,Kochi,2,8.8,5.5,7.3,33.7,Very High,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0150,Karnataka,Mysuru,Mysuru,38,12.0,124.2,10.0,12.3,High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Madurai Survey Corridor R-0136,Tamil Nadu,Madurai,Madurai,17,9.9,46.3,10.6,13.1,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Salem Survey Corridor R-0279,Tamil Nadu,Salem,Salem,5,12.2,25.1,9.5,19.1,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Kochi Survey Corridor R-0249,Kerala,Ernakulam,Kochi,4,10.2,22.8,9.4,8.2,Low,Moderate,High Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0529,Tamil Nadu,Coimbatore,Coimbatore,1,1.0,4.2,0.3,10.9,Low,Light,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-1186,Telangana,Hyderabad,Hyderabad,28,10.4,37.9,9.3,8.4,Very High,Light,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Coimbatore Survey Corridor R-0229,Tamil Nadu,Coimbatore,Coimbatore,0,0.0,4.2,0.2,21.3,Medium,Torrential,Low Risk,IRC:82-2015 Systematic Pavement Survey
Hyderabad Survey Corridor R-0574,Telangana,Hyderabad,Hyderabad,19,5.6,42.3,13.4,20.9,Low,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Bengaluru Survey Corridor R-0317,Karnataka,Bengaluru Urban,Bengaluru,9,5.0,32.6,5.0,23.2,High,Heavy,High Risk,IRC:82-2015 Systematic Pavement Survey
Mysuru Survey Corridor R-0558,Karnataka,Mysuru,Mysuru,20,11.4,83.0,15.3,33.9,High,Heavy,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1196,Maharashtra,Pune,Pune,0,0.0,94.2,12.4,9.2,Medium,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
Pune Survey Corridor R-1136,Maharashtra,Pune,Pune,2,1.7,36.3,13.6,13.3,Very High,Torrential,Critical Risk,IRC:82-2015 Systematic Pavement Survey
